;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,Sub_Area,CO_FIPS,CO_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,CITY_NAME,SEN_SEASON
530001,1,202.8,294.8,1.45,2.6,0.3,0.2,2.2,42.9,0.2,0.1,0.1,0.1,0.2,0.2,1.4,0.4,0.0,0.0,30.0,10.2,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.14
530002,2,179.8,399.7,2.22,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9,9.1,12,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.119
530003,3,294.1,582.6,1.98,17.7,1.4,1.8,14.5,67.0,0.8,0.6,1.4,0.4,0.7,0.8,1.1,11.9,0.0,0.0,34.5,14.8,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.5
530004,4,85.5,102.5,1.20,20.0,3.6,2.7,13.8,35.8,2.1,1.5,0.7,2.0,1.8,2.0,2.9,7.1,0.0,0.0,11.5,4.3,22,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.057
530005,5,110.5,209.8,1.90,2.0,0.0,0.0,2.0,20.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.8,5.6,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.17
530006,6,0.0,0.0,0.00,1129.8,44.0,20.9,1064.8,1133.6,25.7,18.3,8.3,12.6,21.1,24.1,34.9,984.8,0.0,0.0,3.8,0.0,104,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.182
530007,7,91.3,109.5,1.20,24.3,3.9,1.8,18.6,39.2,2.2,1.6,0.7,1.1,8.5,2.1,3.1,4.9,0.0,0.0,10.2,4.6,22,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.072
530008,8,203.1,331.5,1.63,185.6,23.9,75.6,86.0,222.6,0.0,23.9,28.5,47.2,3.9,0.0,0.0,82.1,0.0,0.0,26.8,10.2,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.036
530009,9,137.6,314.8,2.29,0.0,0.0,0.0,0.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,6.9,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0
530010,10,183.4,356.7,1.95,22.6,4.4,2.1,16.1,56.7,2.5,1.9,0.8,1.2,4.5,2.5,3.6,5.6,0.0,0.0,24.9,9.2,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.304
