;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,Sub_Area,CO_FIPS,CO_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,CITY_NAME,SEN_SEASON
530001,1,211.8,301.6,1.42,2.7,0.4,0.2,2.2,42.1,0.2,0.1,0.1,0.1,0.2,0.2,1.4,0.4,0.0,0.0,28.7,10.7,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.14
530002,2,190.6,417.9,2.19,0.0,0.0,0.0,0.0,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,9.6,12,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.119
530003,3,304.9,594.9,1.95,18.1,1.5,1.8,14.7,69.8,0.9,0.6,1.4,0.4,0.7,0.8,1.2,12.0,0.0,0.0,36.5,15.3,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.5
530004,4,88.8,106.5,1.20,21.4,4.0,2.8,14.7,37.0,2.3,1.7,0.7,2.0,1.9,2.2,3.2,7.4,0.0,0.0,11.1,4.5,22,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.057
530005,5,114.8,214.6,1.87,2.0,0.0,0.0,2.0,21.4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.7,5.8,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.17
530006,6,0.0,0.0,0.00,1140.3,47.4,21.7,1071.1,1143.5,27.7,19.6,8.7,13.0,22.4,25.6,37.2,986.0,0.0,0.0,3.3,0.0,104,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.182
530007,7,94.3,113.1,1.20,25.6,4.2,1.9,19.5,40.8,2.5,1.8,0.8,1.2,8.6,2.3,3.4,5.2,0.0,0.0,10.4,4.7,22,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.072
530008,8,211.5,339.0,1.60,185.6,24.4,75.1,86.0,224.8,0.0,24.4,28.4,46.7,4.0,0.0,0.0,82.1,0.0,0.0,28.7,10.6,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.036
530009,9,144.9,327.1,2.26,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,7.3,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0
530010,10,191.0,365.8,1.92,25.8,5.2,2.3,18.3,62.1,3.0,2.2,1.0,1.4,4.8,2.9,4.2,6.4,0.0,0.0,26.7,9.6,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.304
