;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,Sub_Area,CO_FIPS,CO_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,CITY_NAME,SEN_SEASON
530001,1,53.0,101.5,1.91,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,7.0,2.9,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.14
530002,2,21.2,57.4,2.71,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,2.9,1.2,12,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.119
530003,3,121.6,298.8,2.46,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,15.7,6.6,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.5
530004,4,31.0,44.1,1.42,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,4.1,1.7,22,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.057
530005,5,42.4,100.7,2.37,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,5.4,2.3,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.17
530006,6,0.0,0.0,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,13.7,0.0,104,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.182
530007,7,45.7,65.8,1.44,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,5.8,2.5,22,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.072
530008,8,71.0,149.0,2.10,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,12.0,3.9,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.036
530009,9,26.1,72.4,2.77,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,3.3,1.4,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0
530010,10,61.2,148.2,2.42,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,7.9,3.3,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.304
