;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,Sub_Area,CO_FIPS,CO_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,CITY_NAME,SEN_SEASON
530001,1,198.1,290.8,1.47,2.6,0.3,0.2,2.1,40.5,0.2,0.1,0.1,0.1,0.2,0.2,1.4,0.4,0.0,0.0,27.9,10.0,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.14
530002,2,174.5,390.6,2.24,0.0,0.0,0.0,0.0,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.4,8.8,12,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.119
530003,3,288.7,576.1,2.00,17.6,1.4,1.8,14.4,64.4,0.8,0.6,1.4,0.4,0.7,0.8,1.1,11.9,0.0,0.0,32.3,14.5,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.5
530004,4,83.7,100.4,1.20,19.4,3.4,2.6,13.3,34.7,2.0,1.5,0.7,2.0,1.7,1.9,2.8,6.9,0.0,0.0,11.2,4.2,22,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.057
530005,5,108.4,207.5,1.91,2.0,0.0,0.0,2.0,21.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.7,5.5,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.17
530006,6,0.0,0.0,0.00,1124.2,42.4,20.4,1061.3,1127.9,24.8,17.6,8.0,12.4,20.4,23.3,33.8,983.9,0.0,0.0,3.7,0.0,104,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.182
530007,7,89.8,107.7,1.20,23.7,3.7,1.8,18.2,37.5,2.2,1.6,0.7,1.1,8.4,2.1,3.0,4.7,0.0,0.0,9.3,4.5,22,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.072
530008,8,198.9,327.6,1.65,185.6,23.7,75.9,86.0,220.4,0.0,23.7,28.4,47.5,3.9,0.0,0.0,82.1,0.0,0.0,24.8,10.0,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.036
530009,9,134.0,308.5,2.30,0.0,0.0,0.0,0.0,30.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,6.7,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0
530010,10,179.6,351.9,1.96,21.1,4.1,1.9,15.1,53.7,2.3,1.7,0.8,1.2,4.3,2.3,3.4,5.2,0.0,0.0,23.6,9.0,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.304
530011,11,395.8,1080.8,2.73,358.2,22.8,6.2,329.2,422.8,20.3,2.5,4.5,1.7,2.9,94.5,224.4,7.5,0.0,0.0,44.7,19.9,0,0,0,0,66154,0,0,0,3,53,WASHINGTON,1,Western DMPO,1,"Ivins, Santa Clara, NW St George Area",425,Ivins,Ivins,0.254
